epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1325.37,0.9646,1.07559,0.83062,0.59339,0.54078,0.57589,0.42795,0.83324,0.95421,0.81912,0.008581,0.008581,0.008581
45,1355.83,0.9522,1.09479,0.83087,0.62718,0.53178,0.58178,0.43249,0.83417,0.93171,0.82145,0.008548,0.008548,0.008548
46,1385.58,0.95216,1.07823,0.82599,0.59838,0.55311,0.59193,0.44028,0.82683,0.91492,0.82223,0.008515,0.008515,0.008515
47,1413.5,0.97138,1.09555,0.82635,0.62348,0.53453,0.58751,0.43696,0.83206,0.9354,0.82011,0.008482,0.008482,0.008482
48,1443.63,0.95016,1.06418,0.82639,0.60249,0.51884,0.5672,0.42364,0.82133,0.97523,0.819,0.008449,0.008449,0.008449
49,1472.57,0.95435,1.05789,0.82541,0.61236,0.55633,0.58674,0.44049,0.81926,0.92009,0.81925,0.008416,0.008416,0.008416
50,1502.27,0.95296,1.0641,0.83038,0.64074,0.54639,0.5936,0.44128,0.82593,0.91434,0.81853,0.008383,0.008383,0.008383
51,1531.8,0.95434,1.04544,0.83146,0.6397,0.50456,0.57759,0.43216,0.81994,0.93021,0.81841,0.00835,0.00835,0.00835
52,1562.2,0.96182,1.0501,0.83066,0.66753,0.55861,0.61082,0.45401,0.82349,0.87732,0.81924,0.008317,0.008317,0.008317
53,1591.7,0.94036,1.01858,0.82765,0.61739,0.54892,0.60001,0.44394,0.80766,0.89538,0.81782,0.008284,0.008284,0.008284
54,1619.9,0.92646,1.01246,0.82618,0.61907,0.57336,0.61051,0.45701,0.80875,0.87809,0.81708,0.008251,0.008251,0.008251
55,1649.17,0.93098,1.04255,0.82533,0.63202,0.55606,0.59175,0.44302,0.81818,0.91208,0.81969,0.008218,0.008218,0.008218
56,1679.24,0.94224,1.02467,0.82934,0.62771,0.56595,0.62242,0.4664,0.81251,0.85315,0.81725,0.008185,0.008185,0.008185
57,1709.85,0.9309,1.01183,0.8269,0.62872,0.5725,0.61797,0.46244,0.8091,0.84914,0.81702,0.008152,0.008152,0.008152
58,1738.96,0.94148,1.00427,0.82871,0.63534,0.5685,0.61765,0.46109,0.81584,0.84866,0.8187,0.008119,0.008119,0.008119
59,1768.52,0.93962,1.00746,0.82807,0.64303,0.56256,0.62247,0.46477,0.80591,0.8493,0.8168,0.008086,0.008086,0.008086
60,1798.16,0.93019,0.99805,0.82825,0.6517,0.5768,0.62177,0.46667,0.80225,0.82825,0.81552,0.008053,0.008053,0.008053
61,1827.32,0.93474,0.99793,0.82738,0.63276,0.58104,0.62384,0.47006,0.80333,0.83861,0.81601,0.00802,0.00802,0.00802
62,1856.47,0.94302,1.00699,0.82886,0.6547,0.58428,0.62768,0.46852,0.80461,0.83225,0.81666,0.007987,0.007987,0.007987
63,1887.17,0.92885,0.9874,0.82897,0.63465,0.58143,0.63063,0.47186,0.79704,0.83688,0.81545,0.007954,0.007954,0.007954
64,1917.06,0.9183,0.95541,0.82496,0.67346,0.58081,0.64038,0.48293,0.80098,0.8057,0.81487,0.007921,0.007921,0.007921
65,1947.45,0.93383,0.95914,0.82762,0.67865,0.57906,0.64283,0.48233,0.79773,0.81694,0.81617,0.007888,0.007888,0.007888
66,1976.61,0.92607,0.95883,0.82466,0.66357,0.59344,0.64898,0.48568,0.79433,0.79661,0.81501,0.007855,0.007855,0.007855
67,2006.64,0.92248,0.96158,0.82293,0.69222,0.59492,0.65702,0.49523,0.79123,0.78273,0.81454,0.007822,0.007822,0.007822
68,2039.34,0.91914,0.94722,0.82085,0.65517,0.59326,0.64801,0.48673,0.79523,0.80478,0.81482,0.007789,0.007789,0.007789
69,2068.61,0.91437,0.94876,0.82805,0.71203,0.58296,0.66032,0.49869,0.7913,0.77564,0.81393,0.007756,0.007756,0.007756
70,2098.23,0.90686,0.93239,0.82767,0.70049,0.59204,0.65568,0.49384,0.78531,0.77639,0.81315,0.007723,0.007723,0.007723
71,2127.51,0.92144,0.94562,0.829,0.69412,0.59818,0.66536,0.49965,0.78842,0.77196,0.81463,0.00769,0.00769,0.00769
72,2156.51,0.91333,0.91568,0.8224,0.69778,0.5944,0.67347,0.50936,0.78453,0.76987,0.81409,0.007657,0.007657,0.007657
73,2187.2,0.90914,0.90382,0.82564,0.71185,0.58988,0.66816,0.50301,0.79015,0.77075,0.81425,0.007624,0.007624,0.007624
74,2217.11,0.9003,0.91539,0.82525,0.72156,0.60036,0.67932,0.51318,0.78508,0.7617,0.81371,0.007591,0.007591,0.007591
75,2246.23,0.90597,0.90244,0.82365,0.68635,0.61358,0.67471,0.5116,0.78615,0.7622,0.81322,0.007558,0.007558,0.007558
76,2275.14,0.9223,0.93172,0.82789,0.69656,0.61535,0.67952,0.5165,0.78289,0.75119,0.81387,0.007525,0.007525,0.007525
77,2304.64,0.89777,0.90121,0.8208,0.68632,0.61951,0.67258,0.50839,0.78481,0.75238,0.8133,0.007492,0.007492,0.007492
78,2334.25,0.91988,0.93108,0.82095,0.69664,0.61524,0.67886,0.51472,0.77958,0.73934,0.81319,0.007459,0.007459,0.007459
79,2363.92,0.91144,0.89818,0.82541,0.70232,0.60986,0.68168,0.51559,0.78539,0.74068,0.81465,0.007426,0.007426,0.007426
80,2393.47,0.91091,0.89843,0.82899,0.7349,0.6021,0.68592,0.52158,0.78233,0.73781,0.8131,0.007393,0.007393,0.007393
81,2422.51,0.90974,0.90151,0.82114,0.69842,0.61009,0.6805,0.51424,0.7809,0.73461,0.81331,0.00736,0.00736,0.00736
82,2452.26,0.89083,0.87536,0.82089,0.71199,0.62083,0.68452,0.52123,0.77825,0.72508,0.81231,0.007327,0.007327,0.007327
83,2481.86,0.90578,0.87756,0.82499,0.75163,0.59496,0.68304,0.51831,0.77761,0.73473,0.8125,0.007294,0.007294,0.007294
84,2512.72,0.91194,0.88717,0.81921,0.70876,0.62734,0.69096,0.52406,0.77288,0.72113,0.81183,0.007261,0.007261,0.007261
85,2542.34,0.90507,0.87897,0.82569,0.7241,0.61924,0.69023,0.52706,0.77159,0.72256,0.81191,0.007228,0.007228,0.007228
86,2571.94,0.90012,0.8796,0.82279,0.72395,0.62703,0.6881,0.52321,0.77369,0.73458,0.81174,0.007195,0.007195,0.007195
87,2600.72,0.89278,0.8629,0.82206,0.72178,0.6214,0.69464,0.53019,0.77147,0.71931,0.81153,0.007162,0.007162,0.007162
88,2630.75,0.88935,0.87306,0.82174,0.7351,0.62989,0.69843,0.53069,0.77078,0.71333,0.81181,0.007129,0.007129,0.007129
89,2660.3,0.894,0.84407,0.82271,0.71264,0.64031,0.69405,0.5299,0.7664,0.70793,0.81113,0.007096,0.007096,0.007096
90,2689.23,0.90433,0.87031,0.82173,0.71559,0.6305,0.69718,0.53239,0.76711,0.7031,0.81091,0.007063,0.007063,0.007063
91,2719.55,0.88972,0.8554,0.8199,0.74394,0.61072,0.70022,0.53465,0.7708,0.70701,0.81158,0.00703,0.00703,0.00703
92,2749.79,0.90395,0.86125,0.82359,0.72052,0.64268,0.70525,0.53739,0.76877,0.70042,0.81132,0.006997,0.006997,0.006997
93,2778.54,0.87976,0.8359,0.81997,0.74783,0.62813,0.70981,0.54085,0.7687,0.6918,0.81116,0.006964,0.006964,0.006964
94,2807.74,0.89034,0.83494,0.82425,0.75189,0.63044,0.71625,0.54536,0.76746,0.6903,0.81119,0.006931,0.006931,0.006931
95,2837.63,0.89817,0.84649,0.82392,0.74287,0.64665,0.71767,0.5458,0.76627,0.68679,0.81126,0.006898,0.006898,0.006898
96,2869.64,0.8879,0.84394,0.8189,0.77648,0.63025,0.71772,0.54828,0.76051,0.68213,0.81086,0.006865,0.006865,0.006865
97,2902.37,0.87737,0.8319,0.82011,0.7672,0.6328,0.71465,0.54721,0.76125,0.6824,0.81072,0.006832,0.006832,0.006832
98,2931.74,0.8881,0.82074,0.82159,0.74985,0.64077,0.71323,0.54485,0.76192,0.68526,0.81077,0.006799,0.006799,0.006799
99,2960.86,0.88933,0.83622,0.82063,0.73172,0.65033,0.71252,0.54391,0.75975,0.68372,0.80996,0.006766,0.006766,0.006766
100,2990.64,0.88673,0.83226,0.81953,0.74881,0.63186,0.71477,0.54634,0.75992,0.6791,0.81019,0.006733,0.006733,0.006733
101,3019.57,0.89418,0.80727,0.82167,0.75778,0.63112,0.71444,0.54607,0.76047,0.677,0.80976,0.0067,0.0067,0.0067
102,3049.11,0.8814,0.80533,0.82126,0.7436,0.6364,0.71389,0.54749,0.76027,0.67843,0.80968,0.006667,0.006667,0.006667
103,3080.69,0.87335,0.8136,0.8194,0.75513,0.62912,0.71468,0.54763,0.76021,0.67992,0.80959,0.006634,0.006634,0.006634
104,3111.93,0.87541,0.81647,0.82235,0.76001,0.6437,0.71729,0.54932,0.75821,0.67487,0.80958,0.006601,0.006601,0.006601
105,3144.95,0.88164,0.80534,0.81967,0.76995,0.63383,0.72017,0.55218,0.75789,0.6735,0.80919,0.006568,0.006568,0.006568
